state,state_abbr,census_region,religiously_affiliated_pct,religiously_unaffiliated_pct,atheist_pct,agnostic_pct,nothing_in_particular_pct,firearm_death_rate_2024,firearm_homicide_rate_2024,firearm_suicide_rate_2024,adult_obesity_pct_2024,literacy_avg_score,numeracy_avg_score,imprisonment_rate_2023_all_ages,imprisonment_rate_2023_adult,poverty_pct,less_than_hs_pct,unemployment_pct,uninsured_pct,snap_pct,pct_black,pct_hispanic,gun_ownership_pct_proxy,population_density,median_household_income,median_age,centroid_lat,centroid_lon
Alabama,AL,South,77.0,23.0,3.0,2.0,18.0,23.7,11.0,12.2,38.9,258.9,242.5,394.0,505.0,18.0,14.7,5.2,10.7,15.0,26.5,4.1000000000000005,74.31302270011948,95.76882781436531,62212.0,39.6,32.75980031063939,-86.83022566328202
Alaska,AK,West,67.0,33.0,3.0,9.0,21.0,24.4,4.5,19.2,34.0,276.7,263.7,202.0,266.0,10.2,7.6,5.800000000000001,15.5,10.299999999999999,3.2,6.800000000000001,63.51351351351351,1.2933418748375507,86631.0,36.5,63.72616927822913,-149.83621828732598
Arizona,AZ,West,70.0,30.0,3.0,5.0,22.0,16.9,4.4,12.6,33.3,262.4,247.4,448.0,568.0,17.0,13.5,5.1,12.2,12.5,4.3,30.9,61.54353562005277,59.91749111280624,77315.0,39.3,34.26932073810286,-111.66666798283268
Arkansas,AR,South,82.0,18.0,2.0,4.0,12.0,20.6,6.9,13.1,38.9,258.7,242.6,596.0,773.0,18.099999999999998,14.399999999999999,4.3999999999999995,10.6,13.600000000000001,15.4,7.199999999999999,67.9054054054054,57.27619344107552,58700.0,38.9,34.891137460364206,-92.44226348000105
California,CA,West,67.0,33.0,6.0,7.0,20.0,7.0,3.1,3.9,29.1,257.2,243.8,246.0,314.0,15.1,17.5,5.6000000000000005,10.5,9.3,5.800000000000001,38.800000000000004,38.04077573346593,250.1158866910211,95521.0,38.2,37.14777077120319,-119.5469250937076
Colorado,CO,West,60.0,40.0,8.0,10.0,22.0,15.3,3.6,12.1,25.0,272.0,259.7,290.0,364.0,11.5,8.9,4.1000000000000005,9.4,8.200000000000001,4.1000000000000005,21.3,54.22696115765423,52.457284972874184,92911.0,37.9,38.9738355396521,-105.55005313816991
Connecticut,CT,Northeast,70.0,30.0,4.0,5.0,21.0,5.8,1.9,4.1,32.0,271.4,258.1,183.0,229.0,10.100000000000001,9.8,5.7,6.4,12.4,10.5,15.4,37.817258883248726,742.2931246653258,91665.0,41.5,41.60747932269142,-72.72343764620351
Delaware,DE,South,76.0,24.0,3.0,6.0,15.0,11.8,4.8,6.9,36.6,264.0,248.7,275.0,346.0,12.1,10.7,4.8,6.7,12.1,21.9,9.0,56.8,484.32675885173745,81361.0,42.0,38.998217195436695,-75.45413350064973
Florida,FL,South,73.0,27.0,4.0,5.0,18.0,12.7,3.9,9.9,29.6,258.9,242.7,382.0,474.0,15.5,12.4,5.3,14.899999999999999,14.399999999999999,16.1,24.7,61.32672722268098,377.946979781326,73311.0,42.8,28.63140387089787,-82.51221633056636
Georgia,GA,South,74.0,26.0,3.0,3.0,20.0,17.6,7.4,10.1,35.4,260.4,243.3,449.0,582.0,16.900000000000002,13.700000000000001,5.4,14.799999999999999,14.499999999999998,31.3,9.3,67.47572815533981,176.75390869337735,74632.0,37.9,32.63236212163609,-83.44649655456541
Hawaii,HI,West,70.0,30.0,3.0,5.0,22.0,3.7,1.4,2.2,27.0,270.3,258.9,165.0,207.0,10.299999999999999,8.4,3.6999999999999997,4.6,11.4,1.7999999999999998,10.2,15.5,221.35282537195286,95322.0,41.4,20.2356591436284,-156.36216711939284
Idaho,ID,West,66.0,34.0,6.0,6.0,22.0,15.9,1.3,14.6,32.7,269.8,256.4,490.0,641.0,14.499999999999998,9.8,4.0,12.1,11.3,0.7000000000000001,12.2,65.44622425629291,20.054116196661948,74942.0,37.8,44.338196020600776,-114.63715756232496
Illinois,IL,Midwest,71.0,29.0,5.0,5.0,19.0,12.4,6.9,5.2,34.2,265.6,251.5,238.0,303.0,13.5,11.4,5.7,8.5,13.3,14.299999999999999,16.8,45.65217391304347,231.55824558519413,80306.0,39.5,40.04092576754413,-89.18903415199996
Indiana,IN,Midwest,70.0,30.0,5.0,4.0,21.0,17.2,5.5,11.2,38.4,266.3,251.5,351.0,455.0,14.6,11.700000000000001,4.6,10.299999999999999,11.5,9.3,6.7,65.36170212765957,184.6307489974352,69477.0,38.3,39.89446118690686,-86.27813763598593
Iowa,IA,Midwest,69.0,31.0,3.0,6.0,22.0,11.8,2.1,9.9,36.6,273.5,261.1,274.0,354.0,12.0,8.200000000000001,3.4000000000000004,5.6000000000000005,11.200000000000001,3.4000000000000004,5.7,58.02919708029197,55.826675694847054,71433.0,39.1,42.06568676510471,-93.50315745683396
Kansas,KS,Midwest,72.0,28.0,3.0,4.0,21.0,15.2,4.2,10.7,37.6,271.3,258.1,305.0,399.0,12.8,9.5,3.8,9.6,8.6,5.800000000000001,11.5,59.96204933586338,35.51700064114361,70333.0,37.9,38.47405628684008,-98.39090265273676
Kentucky,KY,South,76.0,24.0,3.0,6.0,15.0,18.5,5.9,12.6,37.2,261.0,247.0,423.0,545.0,18.3,14.799999999999999,4.8,7.9,16.1,8.0,3.4000000000000004,67.77251184834124,112.05104879378078,61118.0,39.2,37.52455864713486,-85.27292056922218
Louisiana,LA,South,78.0,22.0,4.0,1.0,17.0,22.9,12.3,9.7,39.2,251.5,233.3,617.0,804.0,19.6,15.7,5.1,12.4,16.0,32.2,5.0,67.73700305810397,107.90904354302263,58229.0,38.7,31.101398043410452,-92.04790576912652
Maine,ME,Northeast,61.0,39.0,5.0,9.0,25.0,11.9,1.1,11.2,33.2,273.1,260.0,119.0,144.0,12.9,7.9,4.1000000000000005,9.0,15.299999999999999,1.3,1.5,55.08771929824562,43.12388636876464,73733.0,44.9,45.37722939416548,-69.20875714923592
Maryland,MD,South,68.0,32.0,6.0,7.0,19.0,11.6,6.5,4.9,32.7,268.1,254.5,261.0,334.0,9.700000000000001,10.2,4.8,7.3,10.9,29.7,9.6,47.93650793650794,617.4433055806728,98678.0,39.8,39.03737738513415,-76.80511735678176
Massachusetts,MA,Northeast,62.0,38.0,8.0,5.0,25.0,3.8,1.4,2.6,27.0,272.9,260.8,96.0,118.0,11.1,9.700000000000001,4.8,3.0,12.3,7.3999999999999995,11.200000000000001,28.39506172839506,870.3205164607706,99858.0,40.3,42.246804003243454,-71.80535737146582
Michigan,MI,Midwest,69.0,31.0,4.0,5.0,22.0,11.9,4.0,8.0,36.1,270.9,256.0,328.0,415.0,15.6,9.8,5.5,7.199999999999999,14.899999999999999,13.8,4.9,55.317679558011044,175.33154445921227,69183.0,40.5,44.30960905699828,-85.41441899625477
Minnesota,MN,Midwest,71.0,29.0,5.0,9.0,15.0,9.8,2.5,7.3,32.3,278.8,267.7,152.0,196.0,10.5,7.199999999999999,3.5999999999999996,5.4,8.6,6.0,5.2,50.97799511002445,68.95170793778622,85086.0,39.1,46.22162993185718,-94.32345387314886
Mississippi,MS,South,81.0,19.0,4.0,2.0,13.0,28.0,16.0,10.6,40.4,251.7,233.6,652.0,847.0,21.5,16.6,6.1,13.600000000000001,17.299999999999997,37.6,3.0,69.55555555555556,63.63901664887988,54203.0,39.3,32.72636387474236,-89.66135281270084
Missouri,MO,Midwest,67.0,33.0,5.0,8.0,20.0,19.6,7.4,11.8,34.6,266.0,252.1,385.0,494.0,14.6,10.8,4.3999999999999995,10.4,12.2,11.600000000000001,4.0,63.36805555555556,88.37267121872303,68545.0,39.3,38.34769991867055,-92.46729614639138
Montana,MT,West,61.0,39.0,8.0,12.0,19.0,20.2,2.2,18.7,31.0,272.8,259.9,438.0,552.0,14.399999999999999,7.000000000000001,3.6999999999999997,11.700000000000001,10.2,0.4,3.5999999999999996,66.25,7.075649731133595,70804.0,40.6,46.99872454134278,-109.63317620969931
Nebraska,NE,Midwest,78.0,22.0,2.0,4.0,16.0,10.9,2.2,8.6,37.6,271.5,259.5,295.0,390.0,12.0,9.1,3.2,9.0,8.799999999999999,4.7,10.5,57.23905723905723,24.65565458064801,74590.0,37.4,41.51789659624425,-99.79662159627972
Nevada,NV,West,65.0,35.0,3.0,8.0,24.0,17.2,5.3,12.6,34.2,254.9,239.6,327.0,415.0,14.2,14.2,6.0,14.000000000000002,12.3,8.799999999999999,28.199999999999996,59.46745562130178,26.285410960427214,76364.0,39.4,39.30639576682536,-116.6302451569307
New Hampshire,NH,Northeast,52.0,48.0,11.0,8.0,29.0,10.2,0.8,9.5,31.1,278.9,268.0,151.0,183.0,8.1,7.199999999999999,3.5999999999999996,7.5,7.6,1.4000000000000001,3.4000000000000004,53.62903225806451,148.74735851165974,96838.0,43.4,43.67113669681583,-71.58155761414417
New Jersey,NJ,Northeast,72.0,28.0,5.0,6.0,17.0,4.0,1.8,2.4,27.7,264.3,249.7,125.0,160.0,10.7,10.8,5.4,9.700000000000001,9.2,13.5,19.7,32.55131964809384,1218.251720545691,99781.0,40.4,40.18302631181109,-74.66282814755577
New Mexico,NM,West,69.0,31.0,6.0,5.0,20.0,26.6,9.7,15.0,34.5,251.5,234.6,259.0,328.0,20.599999999999998,15.0,5.4,12.5,17.0,2.0,48.199999999999996,59.58646616541353,17.18556248481662,62268.0,39.9,34.3917992686213,-106.11120213827508
New York,NY,Northeast,73.0,27.0,5.0,5.0,17.0,4.4,1.8,2.6,29.5,259.7,245.3,167.0,209.0,15.1,13.900000000000002,5.1,7.6,15.2,15.7,18.8,29.570840681951786,420.13568881066203,82095.0,40.2,42.94090202838037,-75.5375601561822
North Carolina,NC,South,74.0,26.0,4.0,5.0,17.0,16.3,6.3,9.8,34.5,265.5,249.1,275.0,350.0,16.1,13.100000000000001,5.3,12.1,13.700000000000001,21.5,9.1,65.37037037037037,206.74028047685553,70804.0,39.4,35.53544013258932,-79.38625285223867
North Dakota,ND,Midwest,77.0,23.0,3.0,3.0,17.0,12.2,1.4,10.3,36.8,275.9,264.2,240.0,313.0,11.0,7.7,2.1999999999999997,8.0,7.199999999999999,2.3,3.3000000000000003,55.86206896551724,10.804882155872818,76525.0,36.3,47.42661916628417,-100.4630104720946
Ohio,OH,Midwest,71.0,29.0,5.0,5.0,19.0,14.6,4.9,9.5,36.9,268.5,253.7,394.0,504.0,14.899999999999999,10.2,4.9,7.3999999999999995,14.2,12.3,3.5999999999999996,60.07543103448276,284.1432868036679,67769.0,39.9,40.28798491078925,-82.79166001952264
Oklahoma,OK,South,74.0,26.0,5.0,9.0,12.0,19.1,5.0,13.8,36.8,263.0,247.3,545.0,715.0,16.2,12.5,4.2,14.899999999999999,13.4,7.3,10.100000000000001,64.51612903225806,56.79944382115508,62138.0,37.1,35.57662203849786,-97.5251043105165
Oregon,OR,West,57.0,43.0,8.0,12.0,23.0,14.2,2.8,12.4,33.5,273.2,260.4,291.0,361.0,14.899999999999999,9.8,5.1,8.799999999999999,17.8,1.9,12.7,55.685441020191284,41.929827059660674,80160.0,40.7,43.92045867664336,-120.55661912033246
Pennsylvania,PA,Northeast,70.0,30.0,5.0,5.0,20.0,11.9,3.9,8.3,34.2,266.2,252.4,300.0,376.0,13.100000000000001,10.100000000000001,4.9,7.1,13.0,11.1,6.800000000000001,58.48238482384824,285.8710088736088,73824.0,41.1,40.870772183662005,-77.80622826929275
Rhode Island,RI,Northeast,69.0,31.0,3.0,6.0,22.0,4.6,1.1,3.8,31.1,266.0,252.8,122.0,150.0,13.4,12.7,5.3,6.7,16.1,6.5,14.6,40.0,1021.5167541677466,84972.0,40.8,41.6470626597778,-71.55606590624649
South Carolina,SC,South,85.0,15.0,3.0,3.0,9.0,19.5,7.8,11.4,34.6,262.9,246.4,299.0,380.0,16.6,13.5,5.3,12.1,14.000000000000002,27.200000000000003,5.5,67.69911504424779,162.76631731462936,67804.0,40.5,33.91091247962745,-80.89140067285173
South Dakota,SD,Midwest,82.0,18.0,1.0,4.0,13.0,17.3,3.2,12.7,37.0,271.1,259.1,405.0,533.0,13.900000000000002,8.6,3.1,9.700000000000001,10.6,1.7000000000000002,3.5000000000000004,59.09090909090909,11.284366608393047,71810.0,38.5,44.418501902796606,-100.23767402209036
Tennessee,TN,South,76.0,24.0,4.0,5.0,15.0,19.8,8.1,11.5,,260.1,245.0,341.0,436.0,16.7,13.5,4.8,10.9,15.7,16.8,5.2,66.39544344995932,160.00344289480222,67631.0,39.1,35.83784506065495,-86.35207940343153
Texas,TX,South,73.0,27.0,4.0,5.0,18.0,13.9,4.8,9.1,35.6,253.6,238.0,477.0,634.0,16.0,17.2,4.3,18.2,12.7,12.0,38.9,61.89309576837416,104.94740753404523,75780.0,35.9,31.44300940767712,-99.37686796765264
Utah,UT,West,66.0,34.0,4.0,10.0,20.0,13.3,1.7,11.1,31.0,273.9,261.5,186.0,255.0,11.0,8.200000000000001,3.4000000000000004,10.8,7.7,1.0999999999999999,13.700000000000001,56.84210526315789,36.24814960082906,93421.0,32.3,39.25819125725016,-111.65637160859436
Vermont,VT,Northeast,55.0,45.0,8.0,8.0,29.0,10.6,1.9,9.4,29.0,276.7,264.9,124.0,150.0,11.4,7.7,3.5000000000000004,4.8,12.8,1.3,1.7999999999999998,58.0952380952381,67.76809328761328,81211.0,43.7,44.053982952742565,-72.65614827660298
Virginia,VA,South,72.0,28.0,6.0,6.0,16.0,12.8,4.5,8.4,32.3,270.0,256.8,314.0,400.0,11.200000000000001,11.0,4.2,9.9,9.1,19.2,9.0,60.953177257525084,211.89230206755747,89931.0,39.3,37.51013908801927,-78.85876504010527
Washington,WA,West,63.0,37.0,9.0,11.0,17.0,11.0,3.0,8.3,31.5,274.7,262.4,181.0,229.0,12.2,9.2,4.5,8.3,13.3,3.6999999999999997,12.3,52.98935298935299,107.89135931143507,94605.0,38.6,47.37151923220737,-120.45414922777756
West Virginia,WV,South,68.0,32.0,4.0,4.0,24.0,15.3,3.6,11.5,41.4,259.8,245.3,328.0,409.0,17.8,14.099999999999998,4.8,8.0,16.5,3.5999999999999996,1.5,66.996699669967,76.40385680701748,55948.0,42.8,38.63279844607902,-80.61748632651444
Wisconsin,WI,Midwest,66.0,34.0,5.0,9.0,20.0,12.1,3.5,8.6,37.4,273.0,259.4,346.0,438.0,12.3,8.3,3.8,6.5,12.1,6.3,6.6000000000000005,55.108695652173914,106.39663578492744,74631.0,40.5,44.62379857282664,-89.98922103796441
Wyoming,WY,West,66.0,34.0,5.0,5.0,24.0,23.4,1.9,21.1,32.5,272.4,259.6,378.0,484.0,11.1,7.199999999999999,3.6999999999999997,11.899999999999999,5.800000000000001,1.0,9.700000000000001,72.7810650887574,6.006888021863588,72415.0,39.3,42.98118123946853,-107.53249163170972
